# 料理名ラベリング（機械割当・基準は make_labels.py 冒頭）。正解/惜しい/誤り
dish,model,step,trial,label
conbini_bento,gpt-5.4,S1,1,正解
conbini_bento,gpt-5.4,S1,2,正解
conbini_bento,gpt-5.4,S1,3,正解
conbini_bento,gpt-5.4-mini,S1,1,正解
conbini_bento,gpt-5.4-mini,S1,2,正解
conbini_bento,gpt-5.4-mini,S1,3,正解
conbini_bento,google/gemma-4-31b-it,S1,1,正解
conbini_bento,google/gemma-4-31b-it,S1,2,正解
conbini_bento,google/gemma-4-31b-it,S1,3,正解
conbini_bento,moonshotai/kimi-k2.6,S1,1,正解
conbini_bento,moonshotai/kimi-k2.6,S1,2,正解
conbini_bento,moonshotai/kimi-k2.6,S1,3,惜しい
conbini_bento,gpt-5.4,S2,1,正解
conbini_bento,gpt-5.4,S2,2,正解
conbini_bento,gpt-5.4,S2,3,正解
conbini_bento,gpt-5.4-mini,S2,1,正解
conbini_bento,gpt-5.4-mini,S2,2,正解
conbini_bento,gpt-5.4-mini,S2,3,正解
conbini_bento,google/gemma-4-31b-it,S2,1,正解
conbini_bento,google/gemma-4-31b-it,S2,2,正解
conbini_bento,google/gemma-4-31b-it,S2,3,正解
conbini_bento,moonshotai/kimi-k2.6,S2,1,正解
conbini_bento,moonshotai/kimi-k2.6,S2,2,正解
conbini_bento,moonshotai/kimi-k2.6,S2,3,正解
conbini_bento,gpt-5.4,S3,1,正解
conbini_bento,gpt-5.4,S3,2,正解
conbini_bento,gpt-5.4,S3,3,正解
conbini_bento,gpt-5.4-mini,S3,1,正解
conbini_bento,gpt-5.4-mini,S3,2,正解
conbini_bento,gpt-5.4-mini,S3,3,正解
conbini_bento,google/gemma-4-31b-it,S3,1,正解
conbini_bento,google/gemma-4-31b-it,S3,2,正解
conbini_bento,google/gemma-4-31b-it,S3,3,正解
conbini_bento,moonshotai/kimi-k2.6,S3,1,正解
conbini_bento,moonshotai/kimi-k2.6,S3,2,正解
conbini_bento,moonshotai/kimi-k2.6,S3,3,正解
conbini_bento,gpt-5.4,S4,1,正解
conbini_bento,gpt-5.4,S4,2,正解
conbini_bento,gpt-5.4,S4,3,正解
conbini_bento,gpt-5.4-mini,S4,1,正解
conbini_bento,gpt-5.4-mini,S4,2,正解
conbini_bento,gpt-5.4-mini,S4,3,正解
conbini_bento,google/gemma-4-31b-it,S4,1,正解
conbini_bento,google/gemma-4-31b-it,S4,2,正解
conbini_bento,google/gemma-4-31b-it,S4,3,正解
conbini_bento,moonshotai/kimi-k2.6,S4,1,正解
conbini_bento,moonshotai/kimi-k2.6,S4,2,惜しい
conbini_bento,moonshotai/kimi-k2.6,S4,3,正解
sukiya_gyudon,gpt-5.4,S1,1,正解
sukiya_gyudon,gpt-5.4,S1,2,正解
sukiya_gyudon,gpt-5.4,S1,3,正解
sukiya_gyudon,gpt-5.4-mini,S1,1,正解
sukiya_gyudon,gpt-5.4-mini,S1,2,正解
sukiya_gyudon,gpt-5.4-mini,S1,3,正解
sukiya_gyudon,google/gemma-4-31b-it,S1,1,正解
sukiya_gyudon,google/gemma-4-31b-it,S1,2,正解
sukiya_gyudon,google/gemma-4-31b-it,S1,3,正解
sukiya_gyudon,moonshotai/kimi-k2.6,S1,1,正解
sukiya_gyudon,moonshotai/kimi-k2.6,S1,2,正解
sukiya_gyudon,moonshotai/kimi-k2.6,S1,3,正解
